Index,SMILES,MW,Rings,Oxygen,Nitrogen,Score,Classification
373,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([...,2662.9,16.0,61.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
374,O=C(O[C@@]%13([H])C([H])([H])[C@]%12(C(=O)O[C@]1([...,2320.5,15.0,54.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
375,O=C(O[C@@]%12([H])C([H])([H])[C@]%11(C(=O)O[C@]1([...,1860.0,13.0,43.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
376,[H]C1([H])[C@]([H])(O[H])C([H])([H])[C@]2([H])[C@]...,730.9,6.0,13.0,0.0,140.0,HIGH_CONFIDENCE_SAPONIN
377,[H]C1([H])[C@]([H])(O[H])C([H])([H])[C@]2([H])[C@]...,716.9,6.0,13.0,0.0,140.0,HIGH_CONFIDENCE_SAPONIN
378,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,897.1,9.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
379,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,909.1,9.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
380,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,912.1,9.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
381,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8...,954.2,9.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
382,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8...,1008.1,9.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
383,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8...,1016.2,10.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
384,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8...,1006.2,9.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
385,O=C(N([H])C([H])([H])C([H])([H])OC([H])([H])[C@@]8...,1122.5,9.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
386,[H]C5([H])[C@]([H])(O[C@]3([H])O[C@@]2([H])[C@@]([...,704.9,9.0,11.0,0.0,115.0,HIGH_CONFIDENCE_SAPONIN
387,[H]C4([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,871.1,9.0,16.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
388,[H][C@]4(O[H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@...,887.1,9.0,17.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
389,O=C(O[C@]5([H])[C@]4([H])C([H])([H])[C@@]([H])(O[C...,985.2,9.0,18.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
390,O=C(O[C@]5([H])[C@]4([H])C([H])([H])[C@@]([H])(O[C...,1041.3,9.0,18.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
391,[H][C@]3(O[H])[C@]([H])(O[C@]1([H])O[C@@]([H])([C@...,740.9,8.0,13.0,0.0,140.0,HIGH_CONFIDENCE_SAPONIN
392,[H][C@]1(O[C@]([H])([C@]([H])(O[H])[C@@]([H])(O[H]...,887.1,9.0,17.0,0.0,150.0,HIGH_CONFIDENCE_SAPONIN
393,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,869.1,9.0,16.0,0.0,135.0,HIGH_CONFIDENCE_SAPONIN
394,[H]C5([H])[C@]([H])(O[C@]2([H])O[C@@]([H])([C@@]([...,868.1,9.0,15.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
395,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,964.1,9.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
396,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,972.6,9.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
397,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,962.2,9.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
398,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,972.2,10.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
399,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,1002.2,10.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
401,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,1098.1,10.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
402,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,1002.2,10.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
403,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,1036.7,10.0,17.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
404,O=C(N([H])C([H])([H])[C@@]8([H])O[C@@]([H])(O[C@@]...,998.2,10.0,16.0,1.0,125.0,HIGH_CONFIDENCE_SAPONIN
